"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Process(calc)\% Processor Time","\\ELIXIR\Process(calc)\IO Data Bytes/sec","\\ELIXIR\Process(calc)\IO Read Operations/sec","\\ELIXIR\Process(calc)\IO Write Operations/sec","\\ELIXIR\Process(calc)\Thread Count","\\ELIXIR\Process(calc)\Virtual Bytes"
"11/07/2013 20:18:38.098","0","0","0","0","2","29552640"
"11/07/2013 20:18:43.105","0","0","0","0","2","29552640"
"11/07/2013 20:18:48.112","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:18:53.120","0","0","0","0","2","29552640"
"11/07/2013 20:18:58.127","0","0","0","0","2","29552640"
"11/07/2013 20:19:03.134","0","0","0","0","2","29552640"
"11/07/2013 20:19:08.141","0","0","0","0","2","29552640"
"11/07/2013 20:19:13.148","0","0","0","0","2","29552640"
"11/07/2013 20:19:18.156","0","0","0","0","2","29552640"
"11/07/2013 20:19:23.163","0","0","0","0","2","29552640"
"11/07/2013 20:19:28.170","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:19:33.177","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:19:38.184","0","0","0","0","2","29552640"
"11/07/2013 20:19:43.192","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:19:48.199","0","0","0","0","2","29552640"
"11/07/2013 20:19:53.206","0","0","0","0","2","29552640"
"11/07/2013 20:19:58.213","0","0","0","0","2","29552640"
"11/07/2013 20:20:03.220","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:20:08.228","0","0","0","0","2","29552640"
"11/07/2013 20:20:13.235","0","0","0","0","2","29552640"
"11/07/2013 20:20:18.242","0","0","0","0","2","29552640"
"11/07/2013 20:20:23.249","0","0","0","0","2","29552640"
"11/07/2013 20:20:28.256","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:20:33.264","0","0","0","0","2","29552640"
"11/07/2013 20:20:38.271","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:20:43.278","0","0","0","0","2","29552640"
"11/07/2013 20:20:48.285","0","0","0","0","2","29552640"
"11/07/2013 20:20:53.292","0","0","0","0","2","29552640"
"11/07/2013 20:20:58.300","0","0","0","0","2","29552640"
"11/07/2013 20:21:03.307","0","0","0","0","2","29552640"
"11/07/2013 20:21:08.314","0","0","0","0","2","29552640"
"11/07/2013 20:21:13.321","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:21:18.328","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:21:23.336","0","0","0","0","2","29552640"
"11/07/2013 20:21:28.343","0","0","0","0","2","29552640"
"11/07/2013 20:21:33.350","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:21:38.357","0","0","0","0","2","29552640"
